graph,seed,case,mode,y_measurement_error,response_reconstruction_error,parameter_rmse,active_parameter_mae,median_excitation_condition
10,0,27,multi_pwm,0.0007186258851502969,0.0009533663227063437,0.027211848642482158,0.0573212992972567,2.4044684864255985
10,0,27,degenerate_pwm,1.1589793135606705,0.0017208206461618266,0.027209104985828823,0.05741076287029028,33393074.52391241
10,0,27,single_pwm,0.937205815380752,0.0012370601816839046,0.027206927428975528,0.05747202956569346,5.160803897635442e+16
10,0,28,multi_pwm,0.0006687375381042781,0.0017105527847512173,0.03159518865440614,0.06804736906129462,2.405708554080424
10,0,28,degenerate_pwm,1.029002453463508,0.002514968314186262,0.03157187375252637,0.06804092164236819,6975604.255802376
10,0,28,single_pwm,0.937447098424394,0.00239225649301729,0.03157078854769327,0.06803281133562054,1.957879908094178e+16
10,0,29,multi_pwm,0.0005447405340898293,0.0009096743509319179,0.03308270109817313,0.07260327651212836,2.4037379105572083
10,0,29,degenerate_pwm,1.0857996956056002,0.00039987518126282664,0.03308228032878266,0.07255847541386704,12625122.918329112
10,0,29,single_pwm,0.9365534093412085,0.0006752060735320112,0.0330816078474793,0.07260994029983056,1.5360068356391488e+16
10,0,30,multi_pwm,0.0006022365960566213,0.0010042244733135457,0.02737149434224038,0.05420399211170677,2.408697763992449
10,0,30,degenerate_pwm,0.9914157141180883,0.0006564725957496091,0.027369762420414466,0.05441126714685096,12041612.1304666
10,0,30,single_pwm,0.9363004230571172,0.00017952397776231164,0.027369919948287715,0.05440645479326739,7.436472715569378e+16
10,0,31,multi_pwm,0.0005276221219902832,0.004315485787009765,0.03483623238862683,0.07529111375445562,2.407026758755542
10,0,31,degenerate_pwm,0.8336818285372444,0.004151230868338853,0.03479725998519015,0.07554425871890971,7114796.33613584
10,0,31,single_pwm,0.9374631036570849,0.0035809307841908234,0.03479606210131844,0.0755884140971832,1.3610424795495144e+16
10,0,32,multi_pwm,0.0004336412695354244,0.00034966853999854515,0.02946669312967905,0.062337597164325645,2.405218270876939
10,0,32,degenerate_pwm,0.9936448217153006,0.00012478774452478518,0.029422011104887527,0.06238704666779371,10079773.571949527
10,0,32,single_pwm,0.9366475444474236,0.00029257616678906293,0.029423271283316576,0.06238043311869839,2.631459593871498e+16
10,0,33,multi_pwm,0.0005478299278668368,0.0013149437226208482,0.03371126794714514,0.07338499785416609,2.4040125494104476
10,0,33,degenerate_pwm,0.7092436997240833,0.0018249443018195487,0.033702704589954786,0.07339217326073011,19540460.422520526
10,0,33,single_pwm,0.9372865056432681,0.0021326566533750218,0.03370289933644287,0.0733543105471113,2.1667894911947596e+16
10,0,34,multi_pwm,0.0006759870832456346,0.0003119865451126166,0.029243339939627796,0.04800230752933093,2.4049829447365814
10,0,34,degenerate_pwm,1.4179382664734685,0.0003123351146533415,0.0292330167342142,0.04795048550475717,5529818.179576635
10,0,34,single_pwm,0.9366573846893798,0.00016683391594957497,0.029233081833801366,0.04798011863299284,2.0120765944585e+16
10,0,35,multi_pwm,0.0004813236279292791,0.00046937403373375515,0.03289571323383032,0.07753869253696613,2.406343420420285
10,0,35,degenerate_pwm,1.1585408904788874,0.00010712824266166338,0.03288486803884169,0.07755842513761058,15685739.333803955
10,0,35,single_pwm,0.9367717263822206,0.0005378766657994235,0.03288395681399892,0.07755067458963699,2.622114749989141e+16
10,0,36,multi_pwm,0.00044178920789786884,0.0005550775730545782,0.022435894076481774,0.05281550523192155,2.4043338326202583
10,0,36,degenerate_pwm,0.989149532850788,8.452702926026881e-05,0.022277430882239768,0.05396515552864028,6367319.367842298
10,0,36,single_pwm,0.9367611162776952,0.00048647694969917716,0.0222777268933131,0.053996810967902556,3.6441968076274584e+16
10,0,37,multi_pwm,0.0005293027050007015,0.0002676411180106312,0.021266273876482802,0.04431412189943289,2.4051536050859847
10,0,37,degenerate_pwm,1.1296792692089408,0.00022712609731706816,0.02126007422196553,0.04454821059900316,7039983.028311348
10,0,37,single_pwm,0.9366062481640658,0.00023347384884803168,0.02126006398008979,0.044437819873978004,2.4800723945881896e+16
10,0,38,multi_pwm,0.0005677037714268143,0.0003094715976925774,0.01964674832962562,0.04191060139798708,2.4052008920517407
10,0,38,degenerate_pwm,1.296600517907715,0.00012729836098043207,0.019610315839000757,0.04230162328243517,22896231.667176265
10,0,38,single_pwm,0.9368904770801932,0.0003436172017733049,0.019609023818000875,0.04229030892722999,1.6073039280279608e+16
10,0,39,multi_pwm,0.0004659115749551206,0.0002972869716407192,0.03881586939174879,0.08222337873951925,2.4044584394575934
10,0,39,degenerate_pwm,1.0481528669220659,8.293502478765461e-05,0.03881281786494428,0.08216266716693099,6224387.090869046
10,0,39,single_pwm,0.9369559942154699,0.0002845163892767892,0.03881473629195849,0.08214437619375979,1.3356307263462892e+16
10,0,40,multi_pwm,0.0005803660777331576,0.0010044767240110074,0.028842044229282784,0.055934028679891216,2.4049959533378127
10,0,40,degenerate_pwm,1.0800644055184265,0.0010345044807929466,0.02868529655706661,0.05659332577212336,12236793.421189085
10,0,40,single_pwm,0.9369544610971422,0.0008859769232947007,0.02868530113173039,0.05657548817582871,1.5769184426539864e+16
10,0,41,multi_pwm,0.0006093004986249968,0.00035210695689313567,0.04051827374050761,0.09012138860101926,2.4045790575547623
10,0,41,degenerate_pwm,1.0562704878180624,0.00033637177703832433,0.040508556929198504,0.0896663085624191,11956928.359281037
