sections_per_winding,frequency_hz,global_relative_error,Re_Y11_S,Im_Y11_S
4,18836.49089489802,2.0561336939034556e-15,0.420717586823558,-1.0053061775544627
4,19952.62314968879,2.0561336939034556e-15,0.3812434192245018,-0.9648118040070415
4,21134.890398366475,2.0561336939034556e-15,0.3449310612134804,-0.9245116665732835
4,22387.21138568338,2.0561336939034556e-15,0.31162770349609636,-0.8846316344767242
4,23713.737056616552,2.0561336939034556e-15,0.28116826371814385,-0.8453660190000987
4,25118.864315095823,2.0561336939034556e-15,0.25338019094500464,-0.8068789018146738
4,26607.250597988084,2.0561336939034556e-15,0.22808757812513303,-0.7693059887204967
4,28183.82931264455,2.0561336939034556e-15,0.20511458766175017,-0.7327568149828281
4,29853.82618917957,2.0561336939034556e-15,0.18428822427262892,-0.6973171544279326
4,31622.776601683792,2.0561336939034556e-15,0.16544050878603833,-0.6630515116037641
4,33496.54391578279,2.0561336939034556e-15,0.14841011791900427,-0.6300056024925929
4,35481.33892335753,2.0561336939034556e-15,0.13304356007423912,-0.5982087531071665
4,37583.74042884443,2.0561336939034556e-15,0.11919595738190425,-0.5676761660497456
4,39810.71705534969,2.0561336939034556e-15,0.10673150103473972,-0.5384110224733005
4,42169.65034285822,2.0561336939034556e-15,0.09552364161988458,-0.5104064008956533
4,44668.359215096345,2.0561336939034556e-15,0.0854550695897962,-0.4836470052311208
4,47315.12589614803,2.0561336939034556e-15,0.07641753395520728,-0.45811070258827247
4,50118.72336272725,2.0561336939034556e-15,0.06831154023714625,-0.43376987725354743
4,53088.444423098794,2.0561336939034556e-15,0.06104596202482454,-0.4105926112569622
4,56234.13251903491,2.0561336939034556e-15,0.05453759436046418,-0.38854370438772046
4,59566.214352901094,2.0561336939034556e-15,0.048710671719294274,-0.36758554784000586
4,63095.7344480193,2.0561336939034556e-15,0.04349636860945311,-0.3476788661168011
4,66834.39175686149,2.0561336939034556e-15,0.03883229676995384,-0.3287833416453887
4,70794.57843841374,2.0561336939034556e-15,0.03466200955175666,-0.31085813595694534
4,74989.42093324558,2.0561336939034556e-15,0.03093452126628718,-0.29386232040650917
4,79432.82347242821,2.0561336939034556e-15,0.02760384700830637,-0.27775522837449595
4,84139.51416451948,2.0561336939034556e-15,0.02462856663528265,-0.2624967397823519
4,89125.0938133746,2.0561336939034556e-15,0.02197141514542217,-0.248047507634523
4,94406.08762859226,2.0561336939034556e-15,0.01959890057868341,-0.2343691352090871
4,100000.0,2.0561336939034556e-15,0.01748094971333143,-0.22142431148760156
4,105925.37251772897,2.0561336939034556e-15,0.015590581195823738,-0.20917691145811546
4,112201.84543019652,2.0561336939034556e-15,0.013903605281931727,-0.19759206705207122
4,118850.22274370189,2.0561336939034556e-15,0.012398349046331261,-0.186636213689088
4,125892.54117941661,2.0561336939034556e-15,0.011055405706714344,-0.17627711670199497
4,133352.1432163324,2.0561336939034556e-15,0.00985740658225362,-0.16648388129440395
4,141253.75446227554,2.0561336939034556e-15,0.008788814144950134,-0.1572269491388879
4,149623.56560944358,2.0561336939034556e-15,0.007835734609875099,-0.1484780842494069
4,158489.3192461114,2.0561336939034556e-15,0.006985748533608761,-0.14021035035020324
4,167880.4018122559,2.0561336939034556e-15,0.006227757939057055,-0.13239808160833488
4,177827.94100389228,2.0561336939034556e-15,0.005551848551248947,-0.12501684829199233
4,188364.9089489802,2.0561336939034556e-15,0.004949165806446654,-0.11804341865564305
4,199526.2314968883,2.0561336939034556e-15,0.004411803381179347,-0.11145571813038879
4,211348.90398366476,2.0561336939034556e-15,0.003932703075024531,-0.10523278670869585
4,223872.11385683378,2.0561336939034556e-15,0.003505564968446371,-0.09935473525227334
4,237137.37056616554,2.0561336939034556e-15,0.003124766862816628,-0.09380270131645396
4,251188.6431509582,2.0561336939034556e-15,0.002785292092531793,-0.0885588049703322
4,266072.5059798814,2.0561336939034556e-15,0.002482664877981249,-0.0836061049961474
4,281838.2931264455,2.0561336939034556e-15,0.002212892462440769,-0.07892855577119162
4,298538.26189179573,2.0561336939034556e-15,0.0019724133454484694,-0.07451096506864618
4,316227.7660168379,2.0561336939034556e-15,0.0017580509897402712,-0.07033895295808096
4,334965.43915782793,2.0561336939034556e-15,0.0015669724384017088,-0.06639891194026759
