graph,seed,case,noise,method,response_error,full_parameter_rmse,active_parameter_mae,identifiable_coordinate_error,estimate_norm
10,0,5,0.01,oracle8,0.055956196579681546,0.030676222402448553,0.06654511267179891,0.5653466446678692,0.11043466910975015
10,0,6,0.001,full56,0.036428904255101015,0.027082785030418048,0.05712111807549807,0.1109082566791941,0.027446842185188808
10,0,6,0.001,group5,0.3490615577255524,0.027270500770768175,0.058887097644239786,0.913028346173898,0.018552679638439585
10,0,6,0.001,fisher3,0.035270118259634206,0.027080992440476487,0.05712309032613405,0.07591484235089417,0.02780737029518694
10,0,6,0.001,fisher8,0.03527010437631212,0.027081005551210582,0.057123253261452886,0.07591484235089388,0.027807370691310195
10,0,6,0.001,oracle8,0.016447496991227672,0.025380392866470543,0.04811781258277098,0.10781723487223772,0.07271945950258443
10,0,6,0.003,full56,0.08942829891070296,0.027158917425715683,0.05679816299397057,0.5390469249689673,0.0410431575385536
10,0,6,0.003,group5,0.3524537338036349,0.027480974440114214,0.058886963495158984,1.3191665968844664,0.039809572477133105
10,0,6,0.003,fisher3,0.09406000826209118,0.02719697246867104,0.05682197328436753,0.6557019754397628,0.043339202300389436
10,0,6,0.003,fisher8,0.09406016826738231,0.0271969512264673,0.05682221766404248,0.6557019754397628,0.0433392047258026
10,0,6,0.003,oracle8,0.1619755126719559,0.026097425514115816,0.052617573493369874,0.5547520062205372,0.11358865746496205
10,0,6,0.01,full56,0.36124635023279833,0.035058098629198016,0.05844970044535338,5.7798409980403225,0.1791314605267313
10,0,6,0.01,group5,0.5427530252137672,0.03817931378501106,0.06022730741859512,7.0319829025889655,0.21321639802731898
10,0,6,0.01,fisher3,0.4172208398926666,0.037348767835235996,0.058682689448672616,6.677013483410062,0.2046973198294981
10,0,6,0.01,fisher8,0.41722024952575926,0.037348601944358184,0.05867951574548569,6.677013483410061,0.20469734217531455
10,0,6,0.01,oracle8,2.4463076085347826,0.07023419394828104,0.1610307759470549,5.9384135266613605,0.5270161497581595
10,0,7,0.001,full56,0.029669524956581164,0.02703914318909749,0.05263701673223894,0.04377975295905376,0.04359114975743799
10,0,7,0.001,group5,0.109982696497824,0.02732272487575779,0.05435386177109615,0.5954268162047825,0.03377044195746969
10,0,7,0.001,fisher3,0.02928641140270189,0.027044720363154626,0.052473094889941035,0.10529262402332262,0.04496704220688212
10,0,7,0.001,fisher8,0.029286369490562906,0.027044693364736427,0.05247297544727147,0.10529262402332312,0.04496704251906153
10,0,7,0.001,oracle8,0.01861720523309028,0.025949960956189653,0.045490586541485065,0.10352941868622428,0.0737598977553788
10,0,7,0.003,full56,0.017497029773721518,0.027101212136887147,0.053551914611437795,0.32268697060101614,0.03897726540171701
10,0,7,0.003,group5,0.10703801628837777,0.02744359718640968,0.055362469681338254,0.7692662733932999,0.030287282035364408
10,0,7,0.003,fisher3,0.017244160509665162,0.02709614483066299,0.05351507763033587,0.30946377698166233,0.039101174597107026
10,0,7,0.003,fisher8,0.017244138579695686,0.027096108759144352,0.05351501667833701,0.3094637769816621,0.03910117666509282
10,0,7,0.003,oracle8,0.020591672715287588,0.026290489388863258,0.04874091698534134,0.2633969592164485,0.08162035389050802
10,0,7,0.01,full56,0.10243213604021696,0.029570074161351427,0.050012218648824214,2.0879812573399805,0.11088596438161202
