state_id,split,repeat,true_ls_uh,true_cps_pf,physical_ls_uh,physical_cps_pf,physical_cps_error_pct,physical_fit_cost,load_w,temperature_c,phase_deg,cpg_pf,csg_pf,skin_coeff,leakage_dispersion,tan_delta,mode_enabled,noise_rel
267,train,2,105.01421059295535,31.386442108079788,107.92886127793257,28.899829116659987,-7.9225704616569965,0.1718524226975164,601.1750165838748,28.78022447694093,42.239685252308846,48.64272600505501,82.05288626719265,0.006284307427704334,0.0015642395801842212,0.0008586880192160606,1,0.0010168452659621836
267,train,3,105.01421059295535,31.386442108079788,107.93437428650849,28.90033976282954,-7.920943497479938,0.17186424385491367,601.1750165838748,28.78022447694093,42.239685252308846,48.64272600505501,82.05288626719265,0.006284307427704334,0.0015642395801842212,0.0008586880192160606,1,0.0010168452659621836
268,train,0,100.01926778815687,23.813354594632983,98.44402613773637,22.468282104099206,-5.648395673060403,0.1749032079698572,500.75056394562125,35.80407129600644,32.15056520700455,8.334446349181235,26.25593724194914,0.12528066409751773,0.0163702230155468,0.028556143902242183,1,0.00021766980374231937
268,train,1,100.01926778815687,23.813354594632983,98.44350702656175,22.46906132267777,-5.645123481503065,0.17489258254403123,500.75056394562125,35.80407129600644,32.15056520700455,8.334446349181235,26.25593724194914,0.12528066409751773,0.0163702230155468,0.028556143902242183,1,0.00021766980374231937
268,train,2,100.01926778815687,23.813354594632983,98.44627004025712,22.468415760442106,-5.647834406724034,0.17489789219762986,500.75056394562125,35.80407129600644,32.15056520700455,8.334446349181235,26.25593724194914,0.12528066409751773,0.0163702230155468,0.028556143902242183,1,0.00021766980374231937
268,train,3,100.01926778815687,23.813354594632983,98.44381157130623,22.4689902471021,-5.6454219508992605,0.1748830780909008,500.75056394562125,35.80407129600644,32.15056520700455,8.334446349181235,26.25593724194914,0.12528066409751773,0.0163702230155468,0.028556143902242183,1,0.00021766980374231937
269,train,0,95.08687560074031,37.73063407093287,98.03981790101392,35.9036866996962,-4.842079695247208,0.06998328604716952,759.9755578674376,77.02579969074577,23.79818296432495,42.37235240172595,73.47756747156382,0.0633110262081027,0.0042642330750823024,0.00868045847862959,0,0.0006963871863670647
269,train,1,95.08687560074031,37.73063407093287,98.04959835338524,35.899279746914466,-4.853759734266568,0.06990353077185643,759.9755578674376,77.02579969074577,23.79818296432495,42.37235240172595,73.47756747156382,0.0633110262081027,0.0042642330750823024,0.00868045847862959,0,0.0006963871863670647
269,train,2,95.08687560074031,37.73063407093287,98.04613744173695,35.899507818453245,-4.853155261152368,0.06994732053782153,759.9755578674376,77.02579969074577,23.79818296432495,42.37235240172595,73.47756747156382,0.0633110262081027,0.0042642330750823024,0.00868045847862959,0,0.0006963871863670647
269,train,3,95.08687560074031,37.73063407093287,98.04042719109611,35.90447958036878,-4.839978271054121,0.06993396274109535,759.9755578674376,77.02579969074577,23.79818296432495,42.37235240172595,73.47756747156382,0.0633110262081027,0.0042642330750823024,0.00868045847862959,0,0.0006963871863670647
270,train,0,108.65584625303747,36.55523995682597,108.14955632946022,36.221495552538634,-0.9129864957295091,0.07939034955918774,341.5454029571265,62.3668561084196,8.415108263492584,25.903859492391348,106.1916571855545,0.04346527855843305,0.007364252172410489,0.017358131743967532,1,0.0004292831072583795
270,train,1,108.65584625303747,36.55523995682597,108.1584411608554,36.220473269063014,-0.9157830400192633,0.079416976933155,341.5454029571265,62.3668561084196,8.415108263492584,25.903859492391348,106.1916571855545,0.04346527855843305,0.007364252172410489,0.017358131743967532,1,0.0004292831072583795
