forward_scenario,load_w,temperature_c,grounding,added_cps_pf,true_cps_pf,mean_estimated_cps_pf,std_estimated_cps_pf,mean_cps_error_pct,cps_mae_pct,mean_cps_only_total_source_error_pct,mean_valid_frequency_count
weak_cross_mode,250.0,80.0,baseline,10.0,38.36,38.667058248220165,0.014894008354481006,0.8004646721068055,0.8004646721068055,111.25883533492714,105.0
weak_cross_mode,750.0,25.0,asymmetric,0.0,28.36,28.823945709815998,0.12159417381624821,1.6359157609872976,1.6359157609872976,53.3390675498207,111.0
weak_cross_mode,750.0,25.0,asymmetric,5.0,33.36,33.88044164353803,0.059769904518205144,1.5600768691187896,1.5600768691187896,41.19213367131963,111.0
weak_cross_mode,750.0,25.0,asymmetric,10.0,38.36,38.647876094161354,0.13107737239034728,0.7504590567292944,0.7504590567292944,27.88846568391537,110.66666666666667
weak_cross_mode,750.0,25.0,baseline,0.0,28.36,28.80322993198614,0.06205823917667067,1.5628699999511275,1.5628699999511275,160.94242339277392,110.33333333333333
weak_cross_mode,750.0,25.0,baseline,5.0,33.36,33.79628430336739,0.15355625550823063,1.307806664770373,1.307806664770373,134.93660768816554,110.66666666666667
weak_cross_mode,750.0,25.0,baseline,10.0,38.36,38.58955685991405,0.08281264958031527,0.598427684864586,0.598427684864586,108.65879232475417,111.0
weak_cross_mode,750.0,80.0,asymmetric,0.0,28.36,28.812127757584747,0.08666378914320136,1.5942445613002307,1.5942445613002307,53.35819874984147,110.66666666666667
weak_cross_mode,750.0,80.0,asymmetric,5.0,33.36,33.84859581236726,0.11587366793310129,1.4646157445061547,1.4646157445061547,41.24740996914127,110.66666666666667
weak_cross_mode,750.0,80.0,asymmetric,10.0,38.36,38.699625551953574,0.08862320376121748,0.8853637954994052,0.8853637954994052,27.7919084295832,110.66666666666667
weak_cross_mode,750.0,80.0,baseline,0.0,28.36,28.792873412717878,0.05301776477130906,1.5263519489346826,1.5263519489346826,160.8485986640141,110.66666666666667
weak_cross_mode,750.0,80.0,baseline,5.0,33.36,33.91253465237994,0.07901584365308847,1.6562789339926258,1.6562789339926258,135.74472796536568,111.0
weak_cross_mode,750.0,80.0,baseline,10.0,38.36,38.616501957902315,0.13470215936076976,0.6686703803501454,0.6686703803501454,108.80448800158486,110.66666666666667
