forward_scenario,load_w,phase_deg,temperature_c,grounding,added_cps_pf,repeat,true_rs_ohm,true_cps_pf,estimated_rs_ohm,estimated_ls_uh,estimated_cps_pf,cps_error_pct,true_ips_rms_a,predicted_ips_rms_a,total_capacitive_source_rms_a,cps_only_total_source_error_pct,valid_frequency_count,median_condition,physics_fit_cost
matched_switching,250.0,5.572516323178269,80.0,asymmetric,0.0,2,0.11553425,28.36,0.1156955506891968,95.99848195117524,28.39975586021268,0.1401828639375143,0.025716510169269815,0.02575256030972988,0.05730972658729351,55.06424154632132,106,2.4219779676720044,3.503014632902426e-05
matched_switching,250.0,5.572516323178269,80.0,asymmetric,5.0,0,0.11553425,33.36,0.11159656195137631,95.99859052975046,33.37096934520397,0.032881730227724136,0.030250450608139672,0.03026039747970131,0.05353362000666873,43.47403094367288,105,2.4143497939100387,2.7204469457170426e-05
matched_switching,250.0,5.572516323178269,80.0,asymmetric,5.0,1,0.11553425,33.36,0.11039338446530068,95.99944132300311,33.34933660435618,-0.03196461523926354,0.030250450608139672,0.030240781167994637,0.05353362000666873,43.51067392000109,105,2.4180424615501703,2.7819270540330517e-05
matched_switching,250.0,5.572516323178269,80.0,asymmetric,5.0,2,0.11553425,33.36,0.11676331636095277,95.99716177625142,33.43421184200431,0.22245755996495814,0.030250450608139672,0.03031774502244094,0.05353362000666873,43.36690659315729,106,2.422948076921254,2.7187644719206637e-05
matched_switching,250.0,5.572516323178269,80.0,asymmetric,10.0,0,0.11553425,38.36,0.12016719250132948,95.99615915179223,38.37198100139528,0.03123305890323439,0.034784391047009526,0.03479525527635437,0.049883919376216904,30.247551292163184,105,2.4206191506839967,2.200114135043102e-05
matched_switching,250.0,5.572516323178269,80.0,asymmetric,10.0,1,0.11553425,38.36,0.11700713064496227,95.99989383757027,38.37485239640033,0.03871844734185192,0.034784391047009526,0.03479785902314025,0.049883919376216904,30.242331680676276,106,2.4220022155659358,2.311509287706353e-05
matched_switching,250.0,5.572516323178269,80.0,asymmetric,10.0,2,0.11553425,38.36,0.11302676083946983,95.99572427125675,38.39776386270787,0.09844594032292231,0.034784391047009526,0.03481863486786135,0.049883919376216904,30.200683299833507,105,2.421760340327282,2.6606780723875037e-05
matched_switching,750.0,18.0,25.0,baseline,0.0,0,0.095,28.36,0.10378000628002539,95.9982610731024,28.362316091585015,0.008166754531088186,0.02601191955778277,0.026014043887401878,0.01012424568664229,156.94797116316764,110,2.5790968954545175,5.7676416948418664e-05
matched_switching,750.0,18.0,25.0,baseline,0.0,1,0.095,28.36,0.08808482838861628,95.99665177006759,28.364022405577806,0.014183376508486936,0.02601191955778277,0.026015608926270733,0.01012424568664229,156.9634294888276,110,2.5797560195037,6.885770336804296e-05
matched_switching,750.0,18.0,25.0,baseline,0.0,2,0.095,28.36,0.09257048796082655,96.01215157460074,28.184916215705723,-0.6173617217710803,0.02601191955778277,0.025851331923335132,0.01012424568664229,155.3408196863774,111,2.5930088553340758,7.142697217027912e-05
matched_switching,750.0,18.0,25.0,baseline,5.0,0,0.095,33.36,0.10105723655094269,95.99666408248281,33.418288183793806,0.17472477156416263,0.03059794204681358,0.03065140423115821,0.013194241747683943,132.30894823144055,110,2.578631924005547,6.036724472218641e-05
