tr_ns,fs_kHz,duty,rankI,lambdaMin,condI,detI,traceInvI,var_Lsigma,var_Cp,var_Rac,corr_Lsigma_Cp,corr_Lsigma_Rac,corr_Cp_Rac
200,100,0.7,3,0.0544944076757714,4294.85080176693,1499.61262027416,18.3632844731971,0.00850992085750447,18.350501875838,0.00427267650164818,-0.0241105241075658,6.35037499900177e-06,-0.000263395299112241
100,50,0.5,3,0.0440695520900819,5207.07406512525,923.351374199949,22.7067138303244,0.0109585378422096,22.6913974891028,0.0043578033793533,-0.0239153639604696,5.49323981873016e-06,-0.000229703216182771
200,50,0.5,3,0.027885689100617,8228.99381091461,584.001014525932,35.8760030783145,0.0109612688526568,35.8606839630547,0.00435784640715186,-0.0194829643207615,5.62335311240499e-06,-0.000288635649605148
500,500,0.3,3,0.0199825904136944,15126.9968157879,1453.03329423227,50.0510271206647,0.00336857052047408,50.0435015383994,0.00415701174475248,-0.133835945202092,0.00014761527428858,-0.00110295696351216
100,50,0.7,3,0.0079291287560753,28105.0659257405,121.570897042101,126.136282939914,0.0145372505196997,126.117258338863,0.00448735053146252,-0.0132574683581028,5.48943278280085e-06,-0.000414066002393427
200,50,0.7,3,0.00496809697814042,44855.6035987313,76.1541281925921,201.303340925094,0.0145397478260844,201.284313792092,0.00448738517577649,-0.0110972801654515,5.80370295446651e-06,-0.000522986226182855
500,500,0.5,3,0.00527401568937363,51245.3016760419,342.670532004279,189.616700273971,0.00376226112749227,189.608778315513,0.00415969733044032,-0.128616427027133,0.000246967760537471,-0.00192018831939553
500,500,0.7,3,0.00265093567580266,92585.008961887,156.278174358279,377.233535590983,0.00412552495335894,377.2252467119,0.0041633541300344,-0.111356343393977,0.000274008616424221,-0.0024606466842874
500,200,0.3,3,0.0024391464747282,98449.2467848812,140.642860270922,409.98780757097,0.00421102440409006,409.97943214638,0.00416440018558794,-0.105027673652265,0.000263619642122092,-0.00251000172903192
500,200,0.5,3,0.000958611301845226,249724.154635131,45.7662346433257,1043.18487498433,0.00504452068780814,1043.1756531054,0.004177358239893,-0.0775456117616145,0.000258268556667044,-0.00333053735945659
500,100,0.3,3,0.000696461780914363,343069.253022737,30.72501148743,1435.83856911245,0.00544174960726547,1435.8289420627,0.00418530014076844,-0.068693963540305,0.000248732895491874,-0.00362088432583032
500,200,0.7,3,0.000535083862467326,445603.727395674,21.9598408123622,1868.87593335538,0.00583200367533955,1868.86590728063,0.00419407107417616,-0.0616625041155791,0.000237710489494022,-0.00385502491786565
500,100,0.5,3,0.000296588092166953,798121.489019665,10.0714777130323,3371.69072802265,0.00698635525765906,3371.67951706897,0.00422459842580064,-0.0471711996301846,0.000204310846619161,-0.00433126247727312
500,50,0.3,3,0.000220238348199696,1068913.0990262,6.69453600683912,4540.54731792449,0.0077577037918224,4540.53531232742,0.00424789327759217,-0.0408519655040734,0.000185321823770767,-0.00453642368985028
500,100,0.7,3,0.000170273629530077,1374405.2069835,4.6725917764944,5872.91280779056,0.00853925743145414,5872.89999539034,0.00427314278992609,-0.036164311652541,0.000169945198026588,-0.0046992515698733
500,50,0.5,3,8.3281190992005e-05,2755188.31110445,1.74090940171287,12007.5285329948,0.0109855628141882,12007.5131891647,0.00435826724512075,-0.0285177971333719,0.000150351722640699,-0.00527220675808857
500,50,0.7,3,3.01264551392865e-05,7396658.83921439,0.461270718498313,33193.436434077,0.0145638487389592,33193.4173824031,0.00448782512593991,-0.0262952327449899,0.000176406934649391,-0.00670870405808413
