budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.6,9,4,fisher_proxy,3.5339272705174673e-07,4.15261764965791e-08,11.586729078439513,4.9558581495481955e-06,1.0,0.0,0.625
0.6,9,4,oracle_edge_current,3.126685307946672e-07,2.3880882228172954e-08,6.840923531807319,4.572275612546603e-06,1.0,0.0,0.625
0.6,9,4,learned_gate,4.3898172831997813e-07,1.6584083142891068e-08,7.185881907773947,3.6979148746263586e-06,1.0,0.0,0.625
0.6,10,6,distance,4.804071163433399e-07,2.4988179302794042e-08,10.948096602953635,3.3041727939529772e-06,1.0,0.0,0.611111111111111
0.6,10,6,magnitude,7.356206398748816e-07,2.557381951415738e-08,14.267856521373986,4.539326712604778e-06,1.0,0.0,0.611111111111111
0.6,10,6,fisher_proxy,3.776944104306202e-07,4.144068537568276e-08,13.796256900657234,3.5239193022913253e-06,1.0,0.0,0.611111111111111
0.6,10,6,oracle_edge_current,4.0049643947280095e-07,2.701511439732737e-08,10.442373610008323,3.444992126008125e-06,1.0,0.0,0.611111111111111
0.6,10,6,learned_gate,4.804071163433399e-07,2.4988179302794042e-08,10.948096602953635,3.3041727939529772e-06,1.0,0.0,0.611111111111111
0.6,11,8,distance,5.426541364895546e-07,3.55230157904483e-08,20.00774670994788,3.3618750296951048e-06,1.0,0.0,0.59375
0.6,11,8,magnitude,7.999958344329094e-07,3.4765140078832376e-08,24.57500861453403,4.327364056674978e-06,1.0,0.0,0.59375
0.6,11,8,fisher_proxy,3.6410349515195174e-07,4.122902233505305e-08,20.10209950195967,2.40625768685399e-06,1.0,0.0,0.59375
0.6,11,8,oracle_edge_current,3.8599194106282245e-07,2.9004610297577238e-08,17.405826386363955,2.53024257694582e-06,1.0,0.0,0.59375
0.6,11,8,learned_gate,4.6025392985774015e-07,2.9941777566239986e-08,18.184182438440587,2.7365417369375657e-06,1.0,0.0,0.59375
0.6,12,4,distance,3.4742029043783225e-07,1.1648173662827192e-08,7.719126981729524,2.7655268415271115e-06,1.0,0.0,0.625
0.6,12,4,magnitude,3.4742029043783225e-07,1.1648173662827192e-08,7.719126981729524,2.7655268415271115e-06,1.0,0.0,0.625
0.6,12,4,fisher_proxy,2.473977190576663e-07,2.693051791095019e-08,11.15086055089853,3.257446191454918e-06,1.0,0.0,0.625
0.6,12,4,oracle_edge_current,2.337427903223675e-07,1.621602362563846e-08,6.969395321909235,3.3417178873016965e-06,1.0,0.0,0.625
