case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
30,4,learned_gate,1.4311702310630727e-06,1.0931325992580502e-07,28.390263838844437,1.832806196012179e-05,1.0,0.0,0.375
31,6,distance,1.7703170174234358e-06,1.0480888228184776e-07,37.73223141881246,1.4240510773231542e-05,1.0,0.0,0.38888888888888884
31,6,magnitude,2.025851496828546e-06,1.0812747418373399e-07,40.390616599973875,1.7614517019253437e-05,1.0,0.0,0.38888888888888884
31,6,fisher_proxy,1.2536335207952165e-06,1.1373779011026627e-07,34.67172245774267,1.2807846087976747e-05,1.0,0.0,0.38888888888888884
31,6,oracle_edge_current,1.330256071770582e-06,9.444882298581845e-08,32.728069985926226,1.2181515889529964e-05,1.0,0.0,0.38888888888888884
31,6,learned_gate,1.330256071770582e-06,9.444882298581845e-08,32.728069985926226,1.2181515889529964e-05,1.0,0.0,0.38888888888888884
32,8,distance,5.559315903680417e-07,3.6147085443810883e-08,26.68163186367308,3.5775355703816067e-06,1.0,0.0,0.40625
32,8,magnitude,6.994935785917256e-07,3.7099914340328336e-08,30.82228547269523,4.205984907846247e-06,1.0,0.0,0.40625
32,8,fisher_proxy,4.152230374416625e-07,4.5427101293323694e-08,28.537343539332937,3.1971490249113137e-06,1.0,0.0,0.40625
32,8,oracle_edge_current,4.2040574389246944e-07,3.3069370062966294e-08,23.85048442630288,2.8428167499506715e-06,1.0,0.0,0.40625
32,8,learned_gate,4.2040574389246944e-07,3.3069370062966294e-08,23.85048442630288,2.8428167499506715e-06,1.0,0.0,0.40625
33,4,distance,2.3611570449802907e-06,8.5313448643845e-08,45.23241082963926,2.2871511935938833e-05,1.0,0.0,0.375
33,4,magnitude,1.528253795585593e-06,8.617621328016817e-08,34.19196289239769,1.9082992667833507e-05,1.0,0.0,0.375
33,4,fisher_proxy,1.2745046957756897e-06,8.329683236548075e-08,32.792820197406364,1.4621455782867509e-05,1.0,0.0,0.375
33,4,oracle_edge_current,1.2745046957756897e-06,8.329683236548075e-08,32.792820197406364,1.4621455782867509e-05,1.0,0.0,0.375
33,4,learned_gate,1.2745046957756897e-06,8.329683236548075e-08,32.792820197406364,1.4621455782867509e-05,1.0,0.0,0.375
34,6,distance,2.7092205198292938e-06,1.7328864049678567e-07,31.35686915766016,2.3346175466070313e-05,1.0,0.0,0.38888888888888884
34,6,magnitude,2.9892757043564525e-06,1.4928997851412405e-07,32.80688515564797,2.036672423939732e-05,1.0,0.0,0.38888888888888884
34,6,fisher_proxy,1.7929210258176472e-06,1.7903307028912692e-07,27.887744268652114,1.9090071842858985e-05,1.0,0.0,0.38888888888888884
34,6,oracle_edge_current,1.8216172937105906e-06,1.4514113338177212e-07,25.554953113145935,1.816193608977538e-05,1.0,0.0,0.38888888888888884
34,6,learned_gate,1.8216172937105906e-06,1.4514113338177212e-07,25.554953113145935,1.816193608977538e-05,1.0,0.0,0.38888888888888884
35,8,distance,8.737208007815236e-07,5.838100569650051e-08,33.138487057350915,5.555610768469402e-06,1.0,0.0,0.40625
35,8,magnitude,1.0293198092585498e-06,5.352189794874108e-08,35.38739151080413,6.228766421642353e-06,1.0,0.0,0.40625
35,8,fisher_proxy,6.349664195703468e-07,6.568214232850433e-08,32.413607733204536,4.683997111783139e-06,1.0,0.0,0.40625
35,8,oracle_edge_current,6.418390369739938e-07,5.089445594170446e-08,28.892391700089924,4.266204188944824e-06,1.0,0.0,0.40625
35,8,learned_gate,6.418390369739938e-07,5.089445594170446e-08,28.892391700089924,4.266204188944824e-06,1.0,0.0,0.40625
36,4,distance,3.1282502818722374e-06,1.1680461903759482e-07,33.616608290965964,3.2532908271795183e-05,1.0,0.0,0.375
36,4,magnitude,2.621656561482601e-06,8.791324903157988e-08,28.517719417271415,2.0826857577669346e-05,1.0,0.0,0.375
36,4,fisher_proxy,1.518873664078472e-06,1.221995588084586e-07,24.69487740048894,2.0515660285248457e-05,1.0,0.0,0.375
36,4,oracle_edge_current,1.8588868351860261e-06,1.1679496967850599e-07,24.098025534915536,2.630554356599115e-05,1.0,0.0,0.375
36,4,learned_gate,1.8588868351860261e-06,1.1679496967850599e-07,24.098025534915536,2.630554356599115e-05,1.0,0.0,0.375
37,6,distance,1.9223998077377613e-06,1.1874979936974624e-07,37.766007801556015,1.582131278561093e-05,1.0,0.0,0.38888888888888884
37,6,magnitude,1.898166235456596e-06,1.1719086438179869e-07,37.40346017835512,1.572911012240605e-05,1.0,0.0,0.38888888888888884
37,6,fisher_proxy,1.3011093138339905e-06,1.238512259184922e-07,33.43040849829448,1.33585188598974e-05,1.0,0.0,0.38888888888888884
37,6,oracle_edge_current,1.3729600384888158e-06,1.1154819802770796e-07,32.57301706435901,1.2378332532979985e-05,1.0,0.0,0.38888888888888884
37,6,learned_gate,1.3729600384888158e-06,1.1154819802770796e-07,32.57301706435901,1.2378332532979985e-05,1.0,0.0,0.38888888888888884
38,8,distance,1.9774743992485276e-06,1.2305058402274708e-07,24.61877929453188,1.2864694751992382e-05,1.0,0.0,0.40625
38,8,magnitude,1.9774743992485276e-06,1.2305058402274708e-07,24.61877929453188,1.2864694751992382e-05,1.0,0.0,0.40625
38,8,fisher_proxy,1.384330733559339e-06,1.5665336743119205e-07,25.70850899996586,1.115344876095568e-05,1.0,0.0,0.40625
38,8,oracle_edge_current,1.4535319619690793e-06,1.1225146267124277e-07,21.76090742761287,1.0011097433856632e-05,1.0,0.0,0.40625
