frequency_hz,Y11_real_s,Y11_imag_s,Y12_real_s,Y12_imag_s,Y22_real_s,Y22_imag_s
78013.59099467647,0.028606891569583404,-0.2827066528900699,0.11441233805828162,-1.112521996655767,0.4577102650781004,-4.52362905756863
80336.99050749287,0.026992001564206308,-0.2746892967850625,0.1079536461186609,-1.08098730441822,0.43187202498993926,-4.395360967915387
82729.58546724777,0.025467429464944596,-0.26689045800454303,0.10185617631854063,-1.0503113760942189,0.40747887139949457,-4.270589441602031
85193.43665162932,0.024028216719582662,-0.2593049151716702,0.09610009726993336,-1.02047377355981,0.3844514674713051,-4.149230945121335
87730.66621237416,0.022669666802907773,-0.25192750826728094,0.09066662553206191,-0.9914542913248904,0.362714668801968,-4.031202926942772
90343.45950310727,0.021387332500010098,-0.24475314400037318,0.08553797475372042,-0.9632329783894346,0.3421973199529105,-3.9164239034477433
93034.06696162016,0.020177003678950464,-0.23777680047500382,0.0806973067725962,-0.9357901572746475,0.3228320588131002,-3.804813533607792
95804.80604820709,0.019034695549363448,-0.23099353121304178,0.0761286846578281,-0.9091064404671714,0.30455512873667967,-3.6962926833566456
98658.06324172691,0.017956637401295855,-0.22439846858815238,0.0718170276730484,-0.8831627444981164,0.2873061983643841,-3.5907834805421928
101596.29609511347,0.016939261816686618,-0.2179868267224525,0.06774806812955275,-0.85794030186305,0.2710281890072317,-3.48820936128158
104622.03535210324,0.01597919434431805,-0.21175390389363558,0.06390831009293685,-0.8334206709742755,0.2556671094457199,-3.388495108483742
107737.88712700133,0.0150732436277774,-0.2056950844968346,0.06028498990139244,-0.8095857443229435,0.2411718979772397,-3.2915668832485387
110946.53514936737,0.014218391974924749,-0.19980584060223605,0.05686603844965236,-0.7864177550151379,0.22749427152753454,-3.1973522497975893
114250.74307555139,0.013411786356541597,-0.1940817331463376,0.05364004518932111,-0.7638992818339122,0.21458858162909578,-3.1057801945440993
