noise_pct,fault_change_pct,fault_section,repeat,predicted_section,full_location_correct,predicted_group,true_group,group_location_correct,full_true_section_amplitude_error_pct,group_true_amplitude_error_pct,delta_cps1_pct,delta_cps2_pct,delta_cps3_pct,delta_cps4_pct
0.05,5.0,1,50,1,1,1,1,1,7.82026927937662,6.227672828216812,4.600133501776614,0.1673196175820782,-0.20962166263954335,0.27034671027791174
0.05,5.0,1,51,1,1,1,1,1,3.2795035440861975,1.2528554272089154,5.168142376472195,-0.17049532773937326,0.14434839077736628,-0.023211781871408172
0.05,5.0,1,52,1,1,1,1,1,6.144175177637264,13.885649238056908,5.315236345684677,0.7172604138023938,-0.8490594882651451,0.9013547025102715
0.05,5.0,1,53,1,1,1,1,1,13.257769062597463,13.422254869496458,5.681392579295865,0.24881452166370185,0.05625871087667745,-0.5029204920173485
0.05,5.0,1,54,1,1,1,1,1,1.82357808309744,0.785700023626607,5.093462879798767,-0.09490030375510468,0.0315912569468795,0.06416932662640978
0.05,5.0,1,55,1,1,1,1,1,6.8972538108824955,5.766509824773415,5.35393925393219,-0.09607724637628202,0.04314884079259338,0.05314715461680371
0.05,5.0,1,56,1,1,1,1,1,6.686519783205573,4.75629696929093,5.343107584445962,-0.27830659532742263,0.04758977447275237,0.2571315316527493
0.05,5.0,1,57,1,1,1,1,1,18.37266262544109,10.14567420853341,5.945456717778038,-0.5971579768465007,0.8424796561945332,-1.14352357923022
0.05,5.0,1,58,1,1,1,1,1,13.007262080454346,16.1432029764003,5.66847669630883,0.5402005068374304,-0.23416918142138723,-0.31250629212795783
0.05,5.0,1,59,1,1,1,1,1,6.8925359875517325,6.982102936188102,5.353696746958405,0.04567703162032848,-0.06205823086449778,0.05574481710570281
0.05,5.0,1,60,1,1,1,1,1,5.85978077645222,6.283188113393844,4.700234069699973,-0.026393927763732082,-0.023326442898644766,-0.004038213384167265
0.05,5.0,1,61,1,1,1,1,1,0.13623763993313545,6.979703815370972,5.006979641627115,0.8211923294396637,-0.6258805878668448,0.3339762293753542
0.05,5.0,1,62,1,1,1,1,1,4.4313981406092084,7.398704707056997,5.227264669316704,0.45031715614875295,-0.2502199420161311,-0.006935120803179017
0.05,5.0,1,63,1,1,1,1,1,14.268563731508342,14.707120055310186,5.733524154064367,-0.09616577549417975,-0.2185785397250115,0.608467379291663
0.05,5.0,1,64,1,1,1,1,1,6.531117548246082,5.648837143900153,5.335120666892012,-0.32340958273447284,-0.1498097542538609,0.7999885352813725
0.05,5.0,1,65,1,1,1,1,1,1.4362036774818767,0.6773739654035208,5.073602028285978,-0.03769865704174805,0.241994494632773,-0.5238278662763486
0.05,5.0,1,66,1,1,1,1,1,9.710058388985951,6.53541705955729,5.498623304702957,-0.1256932283432567,0.3487792502530259,-0.6455571658237436
