case,n,method,scenario,budget,port_error_pct,node_voltage_error_pct,branch_current_error_pct,displacement_current_error_pct,solve_ms,c_keep,m_keep
0,4,distance,joint,0.95,96.28462961775585,8.672733688000056,96.38011921198134,9.55731199580985,3.977300000769901,0.9375,0.9642857142857142
0,4,distance,C_only,1.0,0.0,0.0,0.0,0.0,4.329649999817775,1.0,1.0
0,4,distance,M_only,1.0,0.0,0.0,0.0,0.0,3.3890500008055824,1.0,1.0
0,4,distance,joint,1.0,0.0,0.0,0.0,0.0,3.456200000073295,1.0,1.0
0,4,magnitude,C_only,0.4,9.400028323265316e-05,6.34786363114502e-05,1.0812258382154169e-05,44.14088547269549,4.030299999612907,0.375,1.0
0,4,magnitude,M_only,0.4,98.11983730857504,13.292298799386012,98.7209451229823,11.42306720705343,4.546949999166827,1.0,0.39285714285714285
0,4,magnitude,joint,0.4,98.11983288036717,13.29230940664275,98.72094207288842,45.27091513168656,6.270299999414419,0.375,0.39285714285714285
0,4,magnitude,C_only,0.6,2.706124929600514e-05,1.7004513655960067e-05,3.288693801892356e-06,17.5814967623303,4.8441500002809335,0.625,1.0
0,4,magnitude,M_only,0.6,97.8412827951902,17.931193969406355,98.16297802078914,13.715025596057433,4.216300000734918,1.0,0.6071428571428571
0,4,magnitude,joint,0.6,97.84128184584769,17.931195410195347,98.16297735354794,22.16814985831739,3.8584500007345923,0.625,0.6071428571428571
0,4,magnitude,C_only,0.8,1.2530443414119821e-05,1.7297488043060512e-06,1.7040995306551757e-06,12.628551463476558,3.195600000253762,0.8125,1.0
0,4,magnitude,M_only,0.8,552.8344318771501,0.0008795303307254298,259.6018649201037,0.004531048163624008,3.6995000000388245,1.0,0.7857142857142857
0,4,magnitude,joint,0.8,552.8344316896869,0.0008424156057997333,259.60186492010365,12.62855220053777,4.202600000098755,0.8125,0.7857142857142857
0,4,magnitude,C_only,0.9,4.932225371421948e-06,1.4798252452903525e-06,5.655986306542505e-07,5.564631750605993,4.095600000255217,0.875,1.0
0,4,magnitude,M_only,0.9,75.96700690360687,27.0771541259811,76.15983534697567,20.48133285708303,4.085599999598344,1.0,0.8928571428571428
0,4,magnitude,joint,0.9,75.9670059407475,27.07715335018156,76.15983520371228,21.22007078281081,4.043549999551033,0.875,0.8928571428571428
0,4,magnitude,C_only,0.95,3.153120254722264e-06,2.481640647172044e-07,5.307281462283704e-07,5.221587553976943,3.8425000002462184,0.9375,1.0
0,4,magnitude,M_only,0.95,76.62432343504362,17.331492201516653,76.65160664427711,13.90610153617858,4.358350000075006,1.0,0.9642857142857142
0,4,magnitude,joint,0.95,76.62432337872893,17.3314918966104,76.65160650536394,14.849014781702543,4.019049999442359,0.9375,0.9642857142857142
0,4,magnitude,C_only,1.0,0.0,0.0,0.0,0.0,4.117649999898276,1.0,1.0
0,4,magnitude,M_only,1.0,0.0,0.0,0.0,0.0,4.250050000337069,1.0,1.0
0,4,magnitude,joint,1.0,0.0,0.0,0.0,0.0,3.6605999994208105,1.0,1.0
0,4,physics_proxy,C_only,0.4,5.3691150311694255e-05,6.417766484785025e-05,1.0295092556844109e-05,33.65689225137654,4.815049999706389,0.375,1.0
0,4,physics_proxy,M_only,0.4,97.45546005583384,10.522596383095598,98.28881319137696,10.776392890935833,4.017299999759416,1.0,0.39285714285714285
0,4,physics_proxy,joint,0.4,97.45544211260649,10.522604030428395,98.28881441951137,34.8635442054393,4.492000000936969,0.375,0.39285714285714285
0,4,physics_proxy,C_only,0.6,2.5147736373608315e-05,2.2715366190650924e-05,3.4785733003083833e-06,15.755027751808809,4.268800000318151,0.625,1.0
0,4,physics_proxy,M_only,0.6,94.37241191428288,16.027931779580936,95.25118001511417,16.623411530654668,3.559450000466313,1.0,0.6071428571428571
0,4,physics_proxy,joint,0.6,94.37240165238964,16.027933114416925,95.25118054076023,22.555381645862777,4.1168999996443745,0.625,0.6071428571428571
0,4,physics_proxy,C_only,0.8,8.85554232929909e-06,4.473396888040023e-06,9.598527192417415e-07,6.831660800773105,4.012450001027901,0.8125,1.0
0,4,physics_proxy,M_only,0.8,552.8344318771501,0.0008795303307254298,259.6018649201037,0.004531048163624008,4.05990000035672,1.0,0.7857142857142857
0,4,physics_proxy,joint,0.8,552.8344315098159,0.0008557938507790491,259.6018649201037,6.8316622142250125,3.5736500003622496,0.8125,0.7857142857142857
0,4,physics_proxy,C_only,0.9,7.494412746322421e-06,4.460196875451468e-06,7.203652651446533e-07,4.405293714719854,4.1800999988481635,0.875,1.0
0,4,physics_proxy,M_only,0.9,75.96700690360687,27.0771541259811,76.15983534697567,20.48133285708303,4.308800000217161,1.0,0.8928571428571428
0,4,physics_proxy,joint,0.9,75.96700599843558,27.077154106131225,76.15983495468058,20.7620482587812,4.362449999462115,0.875,0.8928571428571428
0,4,physics_proxy,C_only,0.95,3.1581760066476237e-06,1.4588669654941229e-06,1.9552187344763744e-07,1.9235773797793758,5.743149999943853,0.9375,1.0
0,4,physics_proxy,M_only,0.95,76.62432343504362,17.331492201516653,76.65160664427711,13.90610153617858,4.905949999738368,1.0,0.9642857142857142
0,4,physics_proxy,joint,0.95,76.62432253120934,17.331492201494505,76.65160664427711,14.038512012999812,5.3481499999179505,0.9375,0.9642857142857142
0,4,physics_proxy,C_only,1.0,0.0,0.0,0.0,0.0,4.846549999456329,1.0,1.0
0,4,physics_proxy,M_only,1.0,0.0,0.0,0.0,0.0,4.032099999676575,1.0,1.0
0,4,physics_proxy,joint,1.0,0.0,0.0,0.0,0.0,4.223650000312773,1.0,1.0
0,4,learned_gate,C_only,0.4,5.3691150311694255e-05,6.417766484785025e-05,1.0295092556844109e-05,33.65689225137654,4.455449999113625,0.375,1.0
0,4,learned_gate,M_only,0.4,97.45017054434398,6.045597919015637,98.2854038195788,5.619779041347279,4.089899999598856,1.0,0.39285714285714285
0,4,learned_gate,joint,0.4,97.45016143436096,6.045580041018432,98.2854034591633,33.969692228974054,4.265750000740809,0.375,0.39285714285714285
0,4,learned_gate,C_only,0.6,2.5147736373608315e-05,2.2715366190650924e-05,3.4785733003083833e-06,15.755027751808809,4.024400000162132,0.625,1.0
0,4,learned_gate,M_only,0.6,96.63571321896536,4.800564501659468,97.15117332074506,3.4570711122921947,3.9382499999192078,1.0,0.6071428571428571
0,4,learned_gate,joint,0.6,96.63570711282908,4.800560443078843,97.1511733071064,16.115935037716334,3.8165500000104657,0.625,0.6071428571428571
0,4,learned_gate,C_only,0.8,8.85554232929909e-06,4.473396888040023e-06,9.598527192417415e-07,6.831660800773105,4.176700000243727,0.8125,1.0
0,4,learned_gate,M_only,0.8,552.8344318771501,0.0008795303307254298,259.6018649201037,0.004531048163624008,4.637399999410263,1.0,0.7857142857142857
