n,method,scenario,budget,count,port_error_pct_mean,port_error_pct_std,node_voltage_error_pct_mean,node_voltage_error_pct_std,branch_current_error_pct_mean,branch_current_error_pct_std,displacement_current_error_pct_mean,displacement_current_error_pct_std,solve_ms_mean,solve_ms_std
4,learned_gate,C_only,0.4,2,3.2027832552563853e-05,2.1663317759130402e-05,3.8038531628175466e-05,2.6139133219674785e-05,6.233480729703606e-06,4.0616118271405025e-06,21.45639131788545,12.200500933491087,5.386400000134017,0.9309500010203919
4,learned_gate,C_only,0.6,2,1.3370752021337739e-05,1.1776984352270576e-05,1.1807939369907305e-05,1.0907426820743619e-05,1.838612912648274e-06,1.6399603876601092e-06,8.501668608721452,7.253359143087357,4.164399999808666,0.13999999964653398
4,learned_gate,C_only,0.8,2,4.708143588669429e-06,4.147398740629661e-06,2.404874086027392e-06,2.068522802012631e-06,5.043663006231734e-07,4.5548641861856814e-07,3.6491799043456448,3.1824808964274607,3.8273749996733386,0.3493250005703885
4,learned_gate,C_only,0.9,2,3.782781719596034e-06,3.7116310267263865e-06,2.2384029354417465e-06,2.2217939400097206e-06,3.6430103615907337e-07,3.560642289855799e-07,2.249234213805404,2.15605950091445,3.6177249999127525,0.33927499998753774
4,learned_gate,C_only,0.95,2,1.602995858889148e-06,1.5551801477584755e-06,7.3757534688552e-07,7.212916186086029e-07,9.915857617081938e-08,9.636329727681805e-08,0.97759852685087,0.9459788529285058,4.977649999545974,0.6526000001940702
4,learned_gate,C_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525974999774917,0.18552499977886328
4,learned_gate,M_only,0.4,2,97.44959693916519,0.0005736051787792462,5.818546651175128,0.22705126784050922,98.32969321925542,0.044289399676614494,5.6229351684556494,0.0031561271083706544,4.013824999674398,0.0760749999244581
4,learned_gate,M_only,0.6,2,96.6345120541936,0.0012011647717500296,4.632278591630849,0.16828591002862003,97.17750770952586,0.02633438878080341,3.4939181802940817,0.036847068001887306,3.86274999982561,0.07550000009359792
4,learned_gate,M_only,0.8,2,518.0960992418977,34.738332635252334,0.000675323336369127,0.00020420699435630277,241.36667087919966,18.235194040904062,0.0034224725446858266,0.0011085756189381812,4.031299999496696,0.6060999999135674
4,learned_gate,M_only,0.9,2,2.5365367958435945,0.008551983106358518,68.59960316515108,3.069297311115882,1.5293120963847202,0.03979461680153662,59.57072509803775,0.22092431684384195,3.7923500003671506,0.1889000004666741
4,learned_gate,M_only,0.95,2,76.57558102826292,0.0487701945627137,9.678645030411797,0.3276945084709215,76.59614573728527,0.055453536180230856,7.701643192498022,0.19347749069731224,4.634374999568536,0.6289250000008906
4,learned_gate,M_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.555724999841914,0.4697750005107082
4,learned_gate,joint,0.4,2,97.44959179420212,0.0005696401588437539,5.8185358726645635,0.22704416835386843,98.32969293835764,0.044289479194333126,22.38831381356039,11.581378415413663,4.669150000154332,0.4033999994135229
4,learned_gate,joint,0.6,2,96.63450883983833,0.001198272990755811,4.632276219056303,0.1682842240225395,97.17750770154733,0.026334394440922892,9.9303088159681,6.185626221748234,3.9517000000159896,0.1351500000055239
4,learned_gate,joint,0.8,2,518.0960990458793,34.73833246393659,0.0006629740813391133,0.00019281976943993578,241.3666708791996,18.23519404090409,3.649183468623871,3.1824787456011414,3.9099249997889274,0.25137499960692367
4,learned_gate,joint,0.9,2,2.5365373869919146,0.008552549345779425,68.59960285610882,3.0692970161058852,1.5293123407545741,0.03979485317038001,59.58763776381618,0.23777109152209874,3.9479249999203603,0.07302499943762086
4,learned_gate,joint,0.95,2,76.57558056944407,0.048769749537875384,9.678645030392222,0.3276945084515832,76.59614573728527,0.05545353618023796,7.822921154682728,0.0722628436863153,5.013325000163604,1.9385749997127277
4,learned_gate,joint,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.476400000636204,0.3372500000295986
8,distance,C_only,0.4,2,4.4507232531588195e-05,6.250368477144616e-06,4.5648894537104784e-05,8.992535170754244e-06,5.7603281101869345e-06,1.3138863880833277e-06,37.73993784107111,2.17186725410318,11.447074999978213,1.442524999674788
8,distance,C_only,0.6,2,2.2264206024690013e-05,2.70221873463165e-06,2.046512803658606e-05,3.902125890555402e-06,2.5772212403208997e-06,5.508050396255146e-07,22.012641192401937,1.8512906196428265,10.467749999861553,2.3669500001233246
8,distance,C_only,0.8,2,6.814261811546504e-06,5.215682255976682e-07,3.973822497328942e-06,5.887651459180447e-07,7.340624186880045e-07,1.165892581168704e-07,10.58678280323419,1.5071119802772683,10.191100000156439,0.6819499994890066
8,distance,C_only,0.9,2,2.456418223705391e-06,1.221408770612964e-07,9.176331583557249e-07,1.1121745832859828e-07,2.4576770708134746e-07,2.9022296098598257e-08,5.7431128561074445,1.0008729111341093,8.276749999822641,0.8350500002052286
8,distance,C_only,0.95,2,1.1703197300928975e-06,1.3888913534559784e-07,3.688430777842098e-07,1.334601656761402e-07,7.245516118810084e-08,9.123057315974123e-09,2.7969573386390696,0.4827159869629529,7.583799999792973,0.2546000000620552
8,distance,C_only,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.877750000166998,4.224450000037905
8,distance,M_only,0.4,2,98.19233795313679,0.00018616565798623697,3.6553652274382773,0.02084814158094872,98.2481604650084,0.00373454457217548,3.6273411257918027,0.24841319687132835,10.748149999926682,2.2172500002852757
