frequency_hz,abs_zin_full_ohm,abs_zin_literature_ohm,abs_ips_full_a,abs_ips_literature_a
6812.920690579615,0.04728878025095416,0.0472887802291311,2.384257260086871e-07,2.3842572600910556e-07
7079.457843841381,0.049061604003383885,0.049061603978871667,2.477445329269319e-07,2.4774453292740123e-07
7356.422544596414,0.05090657927489562,0.05090657924736467,2.574274616814578e-07,2.574274616819838e-07
7644.222742526002,0.05282643541303997,0.05282643538212093,2.6748876284650814e-07,2.674887628470979e-07
7943.282347242814,0.05482401084845726,0.05482401081373565,2.7794324766997695e-07,2.7794324767063806e-07
8254.041852680182,0.05690225739500765,0.05690225735601804,2.8880631002228815e-07,2.888063100230293e-07
8576.958985908946,0.059064244705975794,0.05906424466219595,3.000939491487253e-07,3.0009394914955607e-07
8912.509381337459,0.06131316489377516,0.06131316484461891,3.118227932562407e-07,3.118227932571719e-07
9261.187281287937,0.06365233732078142,0.0636523372655921,3.240101239688214e-07,3.2401012396986535e-07
9623.506263980888,0.06608521356912055,0.06608521350716007,3.3667390168860907e-07,3.366739016897792e-07
10000.0,0.0686153825974602,0.06861538252790093,3.498327919031019e-07,3.4983279190441336e-07
10391.22303835169,0.07124657609307594,0.07124657601498853,3.6350619248178345e-07,3.6350619248325353e-07
10797.751623277094,0.07398267402771297,0.07398267394005531,3.7771426200839443e-07,3.7771426201004233e-07
11220.18454301963,0.07682771042600392,0.07682771032760653,3.9247794919768373e-07,3.9247794919953063e-07
11659.144011798311,0.07978587935548492,0.07978587924503626,4.0781902344784126e-07,4.0781902344991167e-07
12115.276586285876,0.08286154114753408,0.08286154102356014,4.237601065819116e-07,4.237601065842321e-07
12589.254117941662,0.08605922885883298,0.08605922871968305,4.4032470583327823e-07,4.4032470583587946e-07
13081.774742601956,0.08938365498332376,0.08938365482714467,4.575372481318997e-07,4.575372481348157e-07
13593.563908785241,0.09283971842489216,0.09283971824960169,4.754231157493109e-07,4.7542311575257954e-07
14125.375446227554,0.09643251174141733,0.09643251154468335,4.940086833616674e-07,4.940086833653315e-07
14677.992676220705,0.10016732867118268,0.10016732845038574,5.133213565911792e-07,5.13321356595287e-07
15252.229565390198,0.10404967195300115,0.104049671705204,5.333896120874841e-07,5.333896120920886e-07
15848.93192461114,0.10808526145186292,0.10808526117376523,5.542430392115915e-07,5.54243039216754e-07
16468.97865482869,0.11228004260228744,0.11228004229019208,5.759123833863546e-07,5.759123833921425e-07
17113.28304161781,0.11664019518205637,0.1166401948318127,5.984295911788062e-07,5.984295911852954e-07
17782.794100389227,0.12117214242943483,0.12117214203638493,6.218278571813205e-07,6.218278571885962e-07
18478.497974222908,0.12588256051748195,0.12588256007639856,6.46141672760366e-07,6.461416727685237e-07
19201.41938638801,0.13077838839958592,0.13077838790460505,6.714068767436774e-07,6.714068767528245e-07
19952.62314968879,0.13586683804085511,0.1358668374853992,6.97660708118964e-07,6.976607081292209e-07
20733.21573485954,0.14115540505057378,0.14115540442725993,7.249418608198243e-07,7.249418608313257e-07
21544.346900318822,0.14665187973150648,0.1466518790320511,7.532905406772962e-07,7.53290540690194e-07
22387.21138568338,0.15236435856242514,0.15236435777753332,7.827485246185119e-07,7.827485246329755e-07
23263.050671536286,0.15830125613089058,0.1583012552501355,8.133592221971428e-07,8.133592222133626e-07
24173.154808041014,0.16447131753392524,0.16447131654560684,8.451677395437607e-07,8.451677395619516e-07
25118.864315095823,0.17088363126497141,0.17088363015595626,8.782209458279306e-07,8.782209458483318e-07
26101.572156825387,0.17754764260612788,0.17754764136169168,9.125675423275784e-07,9.125675423504587e-07
27122.725793320296,0.18447316754553722,0.1844731661491459,9.482581342053258e-07,9.482581342309878e-07
28183.82931264455,0.1916704072404158,0.19167040567352844,9.85345305095533e-07,9.853453051243157e-07
29286.445646252374,0.19914996304716612,0.19914996128897122,1.0238836946102157e-06,1.023883694642498e-06
30432.19887107722,0.2069228521406804,0.20692285016782982,1.0639300788764806e-06,1.0639300789126909e-06
31622.776601683792,0.21500052374597103,0.21500052153227095,1.1055434542228037e-06,1.1055434542634195e-06
32859.93247600654,0.22339487600607275,0.22339487352212806,1.1487851241363005e-06,1.148785124181859e-06
34145.488738336004,0.23211827351107892,0.2321182707239147,1.1937187896181528e-06,1.1937187896692562e-06
35481.33892335753,0.24118356551422016,0.2411835623868257,1.240410643069523e-06,1.2404106431268472e-06
36869.450645195735,0.2506041048618318,0.25060410135268996,1.2889294658456384e-06,1.288929465909942e-06
38311.86849557285,0.2603937676652043,0.26039376372773043,1.339346729621273e-06,1.3393467296934064e-06
39810.71705534969,0.2705669737432791,0.27056696932519325,1.3917367017165782e-06,1.391736701797497e-06
41368.20402388511,0.28113870786637096,0.2811387029090341,1.446176554538165e-06,1.446176554628939e-06
42986.62347082272,0.2921245418323287,0.2921245362699319,1.5027464792964414e-06,1.5027464793982732e-06
44668.359215096345,0.3035406574076089,0.30354065116632306,1.5615298041666987e-06,1.5615298042809377e-06
46415.88833612782,0.31540387016715127,0.3154038631641286,1.622613117067822e-06,1.6226131171959795e-06
48231.78482239309,0.3277316542683555,0.327731646410634,1.686086393239651e-06,1.686086393383424e-06
50118.72336272725,0.3405421681955163,0.34054215937881077,1.7520431278068376e-06,1.7520431279681328e-06
52079.48328595465,0.35385428151290377,0.35385427162018457,1.820580473524619e-06,1.8205804737055725e-06
54116.952654646375,0.36768760266585154,0.3676875915658102,1.8917993839094572e-06,1.8917993841124666e-06
56234.13251903491,0.38206250787108764,0.38206249541641757,1.9658047619655503e-06,1.9658047621933048e-06
58434.14133735175,0.39700017113867053,0.39700015716405473,2.04270561472636e-06,2.0427056149818782e-06
60720.21956909884,0.41252259547017395,0.41252257979014356,2.122615213838976e-06,2.122615214125645e-06
63095.7344480193,0.4286526452790825,0.42865262768555923,2.2056512624279743e-06,2.2056512627495953e-06
65564.18494179785,0.4454140800813258,0.44541406034080366,2.29193606848471e-06,2.291936068845545e-06
68129.20690579608,0.4628315895055611,0.4628315673560374,2.381596725037562e-06,2.381596725442395e-06
70794.57843841374,0.48093082967536915,0.480930804822909,2.4747652973686993e-06,2.474765297822898e-06
73564.22544596421,0.4997384610167907,0.4997384331315642,2.571579017553229e-06,2.5715790180628155e-06
