scenario,added_cps_pf,true_cps_pf,repeats,model_only_3p_mean_cps_pf,model_only_3p_std_cps_pf,model_only_3p_mean_error_pct,model_only_3p_mae_pct,reconstructed_2p_mean_cps_pf,reconstructed_2p_std_cps_pf,reconstructed_2p_mean_error_pct,reconstructed_2p_mae_pct,reconstructed_3p_mean_cps_pf,reconstructed_3p_std_cps_pf,reconstructed_3p_mean_error_pct,reconstructed_3p_mae_pct,mean_log_residual_3p,std_log_residual_3p,mean_valid_frequency_count,median_excitation_condition
matched_control,5.0,33.36,5,33.35999999999999,0.0,-2.1299242678660078e-14,2.1299242678660078e-14,33.359048360991515,0.018879222469502664,-0.0028526349175266577,0.04040228769138284,33.35904839028426,0.018879217499734344,-0.0028525471095243817,0.04040220210976485,-2.8654000172525633e-05,0.0005659631844316168,2804.8,2.3741804636680124
matched_control,10.0,38.36,5,38.36000000000001,0.0,1.8523011881128784e-14,1.8523011881128784e-14,38.36138455058597,0.016468754853049432,0.0036093602345205257,0.033319687086451485,38.36138454880212,0.016468753489166797,0.0036093555842665313,0.033319687151667304,3.6019189070827864e-05,0.00042927986336509374,2804.8,2.3765434757638255
matched_control,20.0,48.36,5,48.35999999999994,0.0,-1.1754222262367249e-13,1.1754222262367249e-13,48.32793042325993,0.06945110944608693,-0.06631426124910937,0.11708068701696292,48.327930423690894,0.06945111312890156,-0.06631426035794244,0.11708068979400665,-0.0006641886152058439,0.0014370222257480995,2804.0,2.3767682857432337
probe_mismatch,0.0,28.36,5,28.36000000000005,3.972054645195637e-15,1.6285358894360547e-13,1.6285358894360547e-13,28.13897754459945,0.03147363842634199,-0.7793457524702143,0.7793457524702143,28.139093181280003,0.0314625449534064,-0.7789380067700824,0.7789380067700824,-0.007820375409883569,0.00111742067650837,2756.0,2.3554449755297213
probe_mismatch,2.5,30.859999999999996,5,30.860000000000042,0.0,1.4966065400002112e-13,1.4966065400002112e-13,30.590979771888243,0.0740082039100575,-0.8717440962791712,0.8717440962791712,30.591102043222698,0.07399795363844397,-0.8713478832705757,0.8713478832705757,-0.008754004093184905,0.0024192679230865986,2756.6,2.3548897270082985
probe_mismatch,5.0,33.36,5,33.35999999999999,0.0,-2.1299242678660078e-14,2.1299242678660078e-14,33.07212057784518,0.042075380484014185,-0.8629479081379596,0.8629479081379596,33.07224875056345,0.042069704186831786,-0.8625636973517488,0.8625636973517488,-0.008663700448878705,0.0012722103738677963,2756.8,2.355831487316603
probe_mismatch,10.0,38.36,5,38.36000000000001,0.0,1.8523011881128784e-14,1.8523011881128784e-14,38.041952120927036,0.033117532005777016,-0.8291133448200305,0.8291133448200305,38.04208731103871,0.03311421544909892,-0.8287609201284791,0.8287609201284791,-0.008322445601996065,0.0008707962610297705,2757.2,2.354550179110284
probe_mismatch,20.0,48.36,5,48.35999999999994,0.0,-1.1754222262367249e-13,1.1754222262367249e-13,47.90337068917455,0.02072175517545357,-0.9442293441386356,0.9442293441386356,47.90354938146809,0.020753801447729998,-0.9438598398095778,0.9438598398095778,-0.009483499325111675,0.00043321010557842833,2756.6,2.353599299733351
secondary_mode,0.0,28.36,5,27.648816930337905,0.47071140354485447,-2.5076977068480124,2.684353682096579,27.65609128414585,0.4747042761198617,-2.4820476581598983,2.6814497277898477,27.656454542108072,0.4745584009916168,-2.4807667767698494,2.6803189867716495,-0.0252366125147225,0.016970139552701394,2804.4,2.3757167265433017
secondary_mode,2.5,30.859999999999996,5,30.501605379530822,0.05682293310073127,-1.1613565148061473,1.1613565148061473,30.49214169700437,0.09530021887466979,-1.192023016836122,1.192023016836122,30.492426640709358,0.09526050262920167,-1.1910996736572925,1.1910996736572925,-0.011986412265645858,0.0031284644340914764,2804.0,2.3759689272954243
secondary_mode,5.0,33.36,5,32.71673335550658,0.008830019447563228,-1.9282573276181736,1.9282573276181736,32.63494411622223,0.08873105657245958,-2.1734289082067284,2.1734289082067284,32.63536792347841,0.08873072951522502,-2.172158502762564,2.172158502762564,-0.02196393025403669,0.002720104467192554,2805.2,2.375660910782362
