scenario,added_cps_pf,repeat,true_cps_pf,model_only_3p_cps_pf,model_only_3p_ls_uh,model_only_3p_rs_ohm,reconstructed_2p_cps_pf,reconstructed_2p_ls_uh,reconstructed_2p_cost_rms,reconstructed_3p_cps_pf,reconstructed_3p_ls_uh,reconstructed_3p_rs_ohm,reconstructed_3p_cost_rms,log_residual_3p,valid_frequency_count,median_excitation_condition,median_sigma_ratio
copper_dispersion,10.0,0,38.36,37.114604992954504,95.73023259823968,0.09987967663082485,37.1030623160254,95.72885322323582,0.00011377845579495188,37.10306215520063,95.72885323063275,0.09993981942916567,0.00011377126191529199,-0.03331574593188321,2804,2.377654596961518,0.6485234094984687
copper_dispersion,10.0,1,38.36,37.11773032889385,95.73997703357175,0.09987855129726701,37.14431434439996,95.73736371891253,0.0001082915568689489,37.144314767338834,95.73736371733195,0.09972525490156932,0.0001082846407620386,-0.03220452508899265,2803,2.373390242786372,0.6491057013023966
copper_dispersion,10.0,2,38.36,37.1781479905556,95.74373204894725,0.09987832380775505,37.15734002611917,95.74299298969794,0.00010447591082367923,37.157339889525886,95.74299300097263,0.09949931779415978,0.0001044694156197559,-0.03185392395149109,2805,2.3839611409124575,0.6476649786643601
copper_dispersion,10.0,3,38.36,37.171289332926136,95.72681341524249,0.09987936514600215,37.1451889989595,95.72665514182331,0.00010109250186068783,37.145188481058725,95.72665515425665,0.0999303570549739,0.00010108444198946312,-0.03218100322704125,2805,2.3817329182964238,0.6479678682889948
copper_dispersion,10.0,4,38.36,37.17457905963408,95.74141510607146,0.09987832846504878,37.18353297712857,95.74128065525743,0.00011427959124884916,37.18353258636967,95.74128067431283,0.09992927599643836,0.00011427245959749056,-0.03114925915390985,2803,2.380961297277743,0.6480728563719488
copper_dispersion,20.0,0,48.36,46.89839907885222,95.73103178312547,0.09988119093352776,46.8712138266113,95.73066279539258,0.00011123948405302246,46.87121369093863,95.7306628226405,0.09985066927900878,0.00011123238775785333,-0.03126931931176935,2804,2.3736203296764975,0.649074428258092
copper_dispersion,20.0,1,48.36,46.89804645159958,95.73107236369731,0.09988116821128847,46.848924192497144,95.73096426636565,0.0001126419284265858,46.848924220557066,95.73096426528497,0.09993633891884782,0.00011263467579463007,-0.03174497953375655,2805,2.3756444200508846,0.6487976698135559
copper_dispersion,20.0,2,48.36,46.89679209277082,95.72930570602846,0.09988103729986088,46.84599426847957,95.72903319731047,0.0001132227350390003,46.845994000376336,95.7290332559452,0.09959144908031475,0.00011321649178288715,-0.031807527647086935,2805,2.3757031601602145,0.6487896488868943
copper_dispersion,20.0,3,48.36,46.97297798211797,95.73185908663176,0.09988036564773743,46.98782921974949,95.73079289319652,0.00010899128182121963,46.987829613934636,95.73079288733295,0.09983200452351497,0.0001089840994522078,-0.028784401952788658,2806,2.3768694947998235,0.6486305134086544
copper_dispersion,20.0,4,48.36,46.898044892579954,95.73107232558802,0.09988117365412184,46.89926802881359,95.73156144051772,0.00011169679168940676,46.899267739378395,95.73156145480952,0.09958706136882241,0.00011169047592838585,-0.03067096364911618,2805,2.3720255154785277,0.6492924035300853
dielectric_loss,0.0,0,28.36,28.359289928347142,95.99920063198975,0.09689993110323386,28.248305173834964,95.99833555796842,0.0001133312559786456,28.248305697598283,95.99833551736074,0.09722651229562061,0.00011332979314082697,-0.0039462211763227955,2802,2.375881602460339,0.6487652883416938
dielectric_loss,0.0,1,28.36,28.35701349752014,95.99929403064064,0.09688484249806296,28.352584104811672,95.99810288874048,0.00011765550484926313,28.352585140779194,95.99810283137218,0.09721961603984078,0.00011765410549325796,-0.00026148902380837796,2803,2.374257016221903,0.6489872055089574
dielectric_loss,0.0,2,28.36,28.373391803539768,95.99892553938773,0.09700741170459448,28.437072111237075,95.99789157155601,0.00011240359128863408,28.437072052926904,95.9978915156148,0.09722191850457443,0.00011240212361968945,0.0027139462457250923,2804,2.375165264530917,0.6488631222479908
dielectric_loss,0.0,3,28.36,28.373367284082562,95.99892465879707,0.09704233498935164,28.390856357474792,95.99863349714549,0.000117796286242096,28.390856242011974,95.99863344284653,0.09707884952753343,0.00011779506108856432,0.0010874283524822744,2805,2.3701902613190904,0.6495437306120928
dielectric_loss,0.0,4,28.36,28.374721284952248,95.99889426261697,0.09698082877500837,28.276301864990394,95.99970427935047,0.00010741033027976503,28.27630174566776,95.99970423654189,0.09705388602288684,0.00010740901885716553,-0.002955641971086293,2806,2.375526355915924,0.6488137932963768
dielectric_loss,2.5,0,30.859999999999996,30.866565556099463,95.99910259771111,0.0971586583119922,30.84832344244911,95.9966532646141,0.00012470896067172987,30.848323769804672,95.9966532132266,0.09720471205265299,0.00012470765897318315,-0.0003784329121701294,2805,2.3708114915197824,0.6494586241789909
dielectric_loss,2.5,1,30.859999999999996,30.867361827748542,95.99906713038389,0.09716601015371362,30.831426141815967,95.99687695990809,0.00012902973619020804,30.831426382048306,95.99687689814607,0.09760279094951496,0.00012902798150164486,-0.0009263400660572022,2803,2.3760811874219976,0.6487380366079135
dielectric_loss,2.5,2,30.859999999999996,30.866507625909843,95.99909930749688,0.09709910589544875,30.81224506481999,95.99864824871872,0.0001142490357237115,30.81224518436254,95.99864820266836,0.09704277026499757,0.00011424781686827569,-0.0015486650450020547,2807,2.3797839105813625,0.6482331520195225
dielectric_loss,2.5,3,30.859999999999996,30.865816327069425,95.99878721495972,0.09729730362801367,30.92624426999307,95.99712577532405,0.00011573663961748406,30.926244626359022,95.99712571995964,0.09736572528416453,0.00011573502347181221,0.0021443171418780906,2804,2.3746337603281624,0.6489357257077992
dielectric_loss,2.5,4,30.859999999999996,30.866565778443267,95.99910739163857,0.09707690678151848,30.919326525290288,95.99595073550933,0.00011670164104012634,30.919326744743326,95.99595068458943,0.09726418846907914,0.00011670017407660113,0.0019206024444087637,2805,2.374164129551038,0.648999900855205
dielectric_loss,5.0,0,33.36,33.369550502759274,95.99889491938912,0.09747260014450385,33.32068408710427,95.99889994707783,0.00013096691457286275,33.320684198666626,95.9988998494115,0.09763443215549229,0.00013096514233920794,-0.0011792262290591922,2802,2.382381501492025,0.6478796696609688
dielectric_loss,5.0,1,33.36,33.36973794810261,95.99891359485568,0.09752107707035236,33.358724554719416,95.99923516284342,0.0001273180609537796,33.35872463581121,95.99923507056717,0.09750515761607229,0.00012731641231055458,-3.823107218895974e-05,2802,2.377750413447923,0.6485103952742445
dielectric_loss,5.0,2,33.36,33.36970915116798,95.99891994084825,0.0974416245297547,33.292952436774826,95.9984434856477,0.00012296385640022355,33.29295263260128,95.9984434074617,0.09737691668185193,0.0001229623219651883,-0.002011835556114614,2806,2.3740293283445864,0.6490183456839742
dielectric_loss,5.0,3,33.36,33.35690346159514,95.9990333610509,0.0974331119322303,33.441027712609305,95.99763679120164,0.00011520646427775724,33.4410288966789,95.99763672601466,0.09715393823506395,0.00011520511928806444,0.002425978693970782,2805,2.3717229206871355,0.649333821992457
dielectric_loss,5.0,4,33.36,33.356938394357144,95.99903048910852,0.09743276199830639,33.329234365296614,95.99813018444544,0.0001209549862977376,33.32923520338469,95.99813010986905,0.09753721150393296,0.0001209532075026989,-0.0009226316272440728,2804,2.376081860891748,0.648737949931957
dielectric_loss,10.0,0,38.36,38.386604992834464,95.99832082463013,0.0978492632926806,38.354972635851674,95.9970536142505,0.00012801398860147475,38.35497183643574,95.99705353210366,0.09785923946775364,0.00012801185564339964,-0.00013108689089214848,2805,2.378196574245547,0.6484494487731651
dielectric_loss,10.0,1,38.36,38.361421880612816,95.99882377037389,0.09793469817072349,38.31769522000612,95.99800663014284,0.00013221863417109473,38.317696436963445,95.99800649148212,0.09813961149529357,0.00013221614053085794,-0.0011034125774357494,2802,2.3747271788860314,0.6489229973829523
dielectric_loss,10.0,2,38.36,38.361609285443755,95.99884582566916,0.09803719790582197,38.312041274110896,95.99969811112199,0.00012996541564441223,38.31204221796819,95.99969799301837,0.09781581480111037,0.00012996337493207706,-0.0012509850239757446,2801,2.375748378329417,0.6487834745756788
dielectric_loss,10.0,3,38.36,38.3613233797543,95.99881324588144,0.09792294206412513,38.45724140685159,95.99556151399328,0.00013973946486724948,38.45724231923615,95.99556140335444,0.09770367799752987,0.00013973771770352586,0.002531785006681472,2806,2.375635387410325,0.6487989034074424
dielectric_loss,10.0,4,38.36,38.38647057409409,95.99827798288051,0.0979796152569658,38.354525297568514,95.99923058779689,0.00013222726330769846,38.35452484625314,95.99923049780539,0.09777813649188558,0.00013222531082238248,-0.0001427409937589241,2802,2.374728532769404,0.6489228114373276
