scenario,added_cps_pf,repeat,cps_true_pf,ls_true_uh,cps_joint_pf,ls_joint_uh,cps_fixed_pf,cps_naive_pf,valid_frequency_count
Ls_minus_5pct,10.0,6,38.36,91.19999999999999,38.32680615103301,91.19791757054762,5.0,5.000006665598603,2712
Ls_minus_5pct,20.0,1,48.36,91.19999999999999,48.41489396847628,91.19906512919547,5.0,5.000006665598603,2712
Ls_minus_5pct,20.0,2,48.36,91.19999999999999,48.32042463660052,91.20061535740739,5.0,5.000006665598603,2713
Ls_minus_5pct,20.0,3,48.36,91.19999999999999,48.29556272488058,91.19987984351118,5.0,5.000006665598603,2712
Ls_minus_5pct,20.0,4,48.36,91.19999999999999,48.300823703066015,91.19924829513178,5.0,5.000006665598603,2712
Ls_minus_5pct,20.0,5,48.36,91.19999999999999,48.40951219854244,91.19864934793844,5.0,5.000006665598603,2711
Ls_minus_5pct,20.0,6,48.36,91.19999999999999,48.332261095072994,91.20073362530842,5.0,5.000006665598603,2711
Ls_plus_5pct,0.0,1,28.36,100.80000000000001,28.348744486961788,100.79937035252482,90.0,5.00000487350528,2714
Ls_plus_5pct,0.0,2,28.36,100.80000000000001,28.315854546956988,100.80005777669432,90.0,5.00000427391805,2712
Ls_plus_5pct,0.0,3,28.36,100.80000000000001,28.38500496933148,100.79923869744789,90.0,5.000005197158121,2714
Ls_plus_5pct,0.0,4,28.36,100.80000000000001,28.317426472635404,100.79997535601039,90.0,5.0000062984410585,2711
Ls_plus_5pct,0.0,5,28.36,100.80000000000001,28.386055866357722,100.79860301761937,90.0,5.00000521843699,2713
Ls_plus_5pct,0.0,6,28.36,100.80000000000001,28.302982267610563,100.7997340639932,90.0,5.000004779990279,2713
Ls_plus_5pct,2.5,1,30.859999999999996,100.80000000000001,30.821337823356387,100.79991478624177,90.0,5.000006665598603,2711
Ls_plus_5pct,2.5,2,30.859999999999996,100.80000000000001,30.84799614057395,100.7991860687373,90.0,5.000006665598603,2713
Ls_plus_5pct,2.5,3,30.859999999999996,100.80000000000001,30.784803937283066,100.80267283385055,90.0,5.0000062146644355,2712
Ls_plus_5pct,2.5,4,30.859999999999996,100.80000000000001,30.90501391274346,100.79738743769886,90.0,5.000006665598603,2711
Ls_plus_5pct,2.5,5,30.859999999999996,100.80000000000001,30.85293060500871,100.79900010853713,90.0,5.000006665598603,2713
Ls_plus_5pct,2.5,6,30.859999999999996,100.80000000000001,30.8326635234931,100.80003185430893,90.0,5.000006058389299,2713
Ls_plus_5pct,5.0,1,33.36,100.80000000000001,33.27103110706394,100.79975586890649,90.0,5.000006662677852,2712
Ls_plus_5pct,5.0,2,33.36,100.80000000000001,33.4133934157238,100.79680326532791,90.0,5.000006665598603,2712
Ls_plus_5pct,5.0,3,33.36,100.80000000000001,33.32200427427314,100.79760607262746,90.0,5.000005583059793,2714
Ls_plus_5pct,5.0,4,33.36,100.80000000000001,33.318128396696764,100.80016572208808,90.0,5.000006665598603,2713
Ls_plus_5pct,5.0,5,33.36,100.80000000000001,33.31426057681785,100.79996400480194,90.0,5.000006665598603,2712
Ls_plus_5pct,5.0,6,33.36,100.80000000000001,33.303907518777805,100.79995013790011,90.0,5.000006665598603,2712
Ls_plus_5pct,10.0,1,38.36,100.80000000000001,38.37723311692152,100.7981940044472,90.0,5.000006665598603,2713
Ls_plus_5pct,10.0,2,38.36,100.80000000000001,38.35662839503089,100.79896460895054,90.0,5.000006665598603,2712
Ls_plus_5pct,10.0,3,38.36,100.80000000000001,38.31110881778991,100.79968719479307,90.0,5.000006665598603,2714
Ls_plus_5pct,10.0,4,38.36,100.80000000000001,38.375218651822934,100.799344063032,90.0,5.000006665598603,2713
Ls_plus_5pct,10.0,5,38.36,100.80000000000001,38.29075000209866,100.8004024573319,90.0,5.000006665598603,2712
Ls_plus_5pct,10.0,6,38.36,100.80000000000001,38.33867166275412,100.79882413392396,90.0,5.000006665598603,2714
Ls_plus_5pct,20.0,1,48.36,100.80000000000001,48.32519503386662,100.80005629475878,90.0,5.000006665598603,2714
Ls_plus_5pct,20.0,2,48.36,100.80000000000001,48.40872319659956,100.79866742457654,90.0,5.000004334965558,2713
Ls_plus_5pct,20.0,3,48.36,100.80000000000001,48.36154895245158,100.79798015106937,90.0,5.000006665598603,2714
Ls_plus_5pct,20.0,4,48.36,100.80000000000001,48.38212397774814,100.79931097311628,90.0,5.000006665598603,2713
Ls_plus_5pct,20.0,5,48.36,100.80000000000001,48.398186254771105,100.79956640301577,90.0,5.000006665598603,2715
Ls_plus_5pct,20.0,6,48.36,100.80000000000001,48.33335704249598,100.79927425221385,90.0,5.000006665598603,2713
