f_Hz,Z_real,Z_imag,fit_real,fit_imag,relative_error
23747.9454906099,0.200003562351252,0.298426948365249,0.200003562351252,0.298426948365247,5.56325123826035e-15
24115.9202902457,0.20000367360547,0.303051163046189,0.20000367360547,0.303051163046177,3.0576248557491e-14
24489.5968653559,0.200003788334268,0.307747033987604,0.200003788334268,0.307747033987596,2.25356157531543e-14
24869.0635650439,0.200003906646165,0.312515671692268,0.200003906646165,0.312515671692267,1.66095480474759e-15
25254.4101073835,0.200004028653068,0.31735820387908,0.200004028653068,0.317358203879074,1.64258794516542e-14
25645.7276006319,0.200004154470378,0.322275775750251,0.200004154470379,0.322275775750256,1.53678871466523e-14
26043.10856477,0.200004284217104,0.327269550262642,0.200004284217104,0.327269550262649,1.91045753724153e-14
26446.6469533772,0.200004418015969,0.332340708403337,0.200004418015969,0.332340708403322,3.86409531230275e-14
26856.4381758455,0.20000455599353,0.3374904494695,0.20000455599353,0.337490449469499,3.67969878349696e-15
27272.5791199367,0.200004698280297,0.342719991352593,0.200004698280297,0.342719991352595,5.03664163414245e-15
27695.16817469,0.200004845010858,0.348030570827024,0.200004845010858,0.348030570827021,7.05321023021861e-15
28124.3052536845,0.200004996324001,0.353423443843287,0.200004996324001,0.353423443843283,8.61213432330848e-15
28560.0918186618,0.200005152362854,0.358899885825679,0.200005152362854,0.358899885825672,1.93203796964788e-14
29002.6309035147,0.200005313275011,0.364461191974652,0.200005313275011,0.364461191974641,2.68390394018879e-14
29452.0271386481,0.200005479212678,0.370108677573874,0.200005479212678,0.370108677573867,1.59662893763531e-14
29908.3867757164,0.200005650332816,0.375843678302089,0.200005650332817,0.375843678302104,3.55961208111298e-14
30371.8177127453,0.200005826797289,0.381667550549829,0.200005826797289,0.381667550549835,1.53309403982494e-14
30842.4295196421,0.200006008773014,0.387581671741077,0.200006008773014,0.387581671741088,2.64736149423102e-14
31320.3334641015,0.200006196432124,0.393587440659941,0.200006196432124,0.393587440659935,1.34538857511103e-14
31805.6425379133,0.200006389952128,0.399686277782429,0.200006389952128,0.399686277782422,1.52771983446891e-14
32298.4714836763,0.200006589516082,0.405879625613399,0.200006589516082,0.405879625613409,2.2082611324552e-14
32798.9368219283,0.200006795312756,0.412168949028776,0.200006795312756,0.412168949028775,3.15037235152852e-15
33307.1568786944,0.200007007536819,0.41855573562311,0.200007007536819,0.418555735623109,2.03782303890605e-15
33823.2518134635,0.20000722638902,0.425041496062555,0.20000722638902,0.425041496062562,1.37100122733753e-14
34347.3436475976,0.20000745207638,0.431627764443382,0.20000745207638,0.431627764443384,4.90096907885352e-15
34879.5562931818,0.200007684812385,0.438316098656068,0.200007684812385,0.43831609865606,1.72827883561239e-14
35420.0155823209,0.200007924817191,0.445108080755105,0.200007924817191,0.445108080755098,1.38784762606952e-14
35968.8492968902,0.20000817231783,0.452005317334566,0.20000817231783,0.452005317334574,1.68461800860077e-14
36526.1871987473,0.200008427548427,0.459009439909564,0.200008427548427,0.459009439909565,1.99640703102093e-15
37092.1610604118,0.20000869075042,0.466122105303665,0.20000869075042,0.466122105303661,7.98999459672952e-15
37666.9046962206,0.200008962172788,0.473344996042375,0.200008962172788,0.473344996042378,5.83567283880988e-15
38250.5539939661,0.200009242072291,0.480679820752778,0.200009242072291,0.480679820752769,1.61001313549711e-14
38843.246947024,0.200009530713706,0.488128314569434,0.200009530713706,0.488128314569423,2.16786551468332e-14
39445.1236869798,0.200009828370084,0.495692239546644,0.200009828370084,0.495692239546642,2.70064536998179e-15
40056.3265167599,0.200010135323005,0.503373385077158,0.200010135323005,0.50337338507714,3.30001885032627e-14
40676.9999442772,0.200010451862844,0.511173568317463,0.200010451862844,0.511173568317467,7.07980257608371e-15
41307.2907165968,0.200010778289051,0.519094634619731,0.200010778289051,0.519094634619719,2.13544925211832e-14
41947.3478546321,0.200011114910426,0.527138457970542,0.200011114910426,0.52713845797053,2.16606618579572e-14
42597.3226883778,0.20001146204542,0.535306941436496,0.20001146204542,0.535306941436481,2.545083771465e-14
43257.3688926894,0.200011820022431,0.543602017616816,0.200011820022431,0.543602017616806,1.82089110909724e-14
43927.642523617,0.200012189180116,0.552025649103068,0.200012189180116,0.552025649103065,5.10562060369124e-15
44608.3020553012,0.200012569867713,0.560579828946085,0.200012569867713,0.560579828946075,1.75340307697841e-14
45299.5084174424,0.200012962445371,0.569266581130255,0.200012962445371,0.569266581130258,3.86509671379575e-15
46001.4250333492,0.20001336728449,0.578087961055246,0.20001336728449,0.578087961055232,2.25053673819667e-14
46714.217858577,0.200013784768074,0.587046056025319,0.200013784768074,0.587046056025322,5.01421814034519e-15
47438.0554201652,0.200014215291092,0.596142985746345,0.200014215291092,0.596142985746333,1.97750942067871e-14
48173.1088564824,0.200014659260855,0.605380902830641,0.200014659260855,0.605380902830639,3.65785630130737e-15
48919.5519576891,0.200015117097399,0.614761993309764,0.200015117097399,0.614761993309756,1.21933554051952e-14
49677.5612068269,0.200015589233883,0.624288477155387,0.200015589233883,0.624288477155396,1.40567920711001e-14
50447.3158215453,0.200016076117001,0.633962608808391,0.200016076117001,0.633962608808396,7.0145179731387e-15
51228.9977964739,0.200016578207402,0.643786677716306,0.200016578207402,0.643786677716307,8.2446231498444e-16
52022.7919462522,0.200017095980131,0.653763008879232,0.200017095980131,0.653763008879217,2.24098507559743e-14
52828.8859492254,0.200017629925075,0.663893963404394,0.200017629925075,0.663893963404391,5.28395355461922e-15
53647.470391818,0.200018180547426,0.674181939069453,0.200018180547426,0.674181939069435,2.63654623621857e-14
54478.7388135937,0.200018748368165,0.684629370894733,0.200018748368165,0.684629370894726,9.65104975022626e-15
55322.8877530154,0.200019333924551,0.6952387317245,0.200019333924551,0.695238731724501,1.23727068882949e-15
56180.1167939124,0.200019937770631,0.706012532817454,0.200019937770631,0.706012532817446,1.07424155842894e-14
57050.6286126687,0.200020560477765,0.716953324446567,0.200020560477765,0.716953324446578,1.44684156757892e-14
